provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;16;1;12;28016001_12_8;2024;9;30;8;T;7;T;7;T;6;T;5;T;5;T;5;T;5;T;5;T;5;T;5;T;5;T;5;T;5;T;5;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;14;28016001_14_6;2024;9;30;83;T;84;T;80;T;81;T;86;T;92;T;88;T;89;T;96;T;97;T;104;T;109;T;116;T;118;T;118;T;115;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;20;28016001_20_59;2024;9;30;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;30;28016001_30_59;2024;9;30;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;42;28016001_42_2;2024;9;30;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;1,3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;44;28016001_44_2;2024;9;30;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;431;28016001_431_59;2024;9;30;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;1;28171001_1_38;2024;9;30;2;T;1;T;1;T;1;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;6;28171001_6_48;2024;9;30;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;0,1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;7;28171001_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;1;T;1;T;2;T;2;T;3;T;2;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
